mapID,value,label,graph
R3010106,孕妇预防措施6,孕妇预防措施,character
sR16,做好自我健康监测,Prevention_String,character
sR17,每日测量体温、体重，监测胎心、胎动变化有异常情况及时咨询医生或就诊。,Prevention_String,character
R3010107,孕妇预防措施7,孕妇预防措施,character
sR18,保持正常生活规律,Prevention_String,character
sR19,保持正常生活规律，保证充足睡眠，清淡饮食，均衡营养，早、中、晚餐后室内散步，避免久坐、久卧。,Prevention_String,character
R3010108,孕妇预防措施8,孕妇预防措施,character
sR20,保持居室空气清新、温度适宜,Prevention_String,character
sR21,保持居室空气清新、温度适宜，适时开窗，避免过冷或过热，以免感冒。,Prevention_String,character
R3010201,老年人预防措施1,老年人预防措施,character
sR22,出现可疑症状时，应自我隔离,Prevention_String,character
sR23,老人出现发热、咳嗽等可疑症状时，应自我隔离，避免与其他人员近距离接触。由医护人员对其健康状况进行评估，视病情状况送至医疗机构就诊，送医途中应佩戴口罩，尽量避免乘坐公共交通工具。,Prevention_String,character
R3010202,老年人预防措施2,老年人预防措施,character
sR24,陪护人员应注意自身健康,Prevention_String,character
sR25,需要陪护的老人，陪护人员应注意自身健康。陪护人员要注意减少外出，如果必须外出要做好自身防护。,Prevention_String,character
R3010203,老年人预防措施3,老年人预防措施,character
sR26,就近就医,Prevention_String,character
sR27,患有基础疾病的老人需长期服药，可定期去附近的社区医院就近就医，并做好自身防护。,Prevention_String,character
R3010204,老年人预防措施4,老年人预防措施,character
sR28,有慢性肺病、心脏病的老人避免佩戴N95/KN95口罩。,Prevention_String,character
sR29,不建议有慢性肺病、心脏病的老人佩戴N95/KN95口罩。,Prevention_String,character
sR30,有慢性肺病、心脏病,Prevention_String,character
R3010205,老年人预防措施5,老年人预防措施,character
sR31,减少外出,Prevention_String,character
sR32,避免聚会、打牌、下棋、跳广场舞等活动。,Prevention_String,character
R3010206,老年人预防措施6,老年人预防措施,character
sR33,防护知识普及,Prevention_String,character
sR34,确保老人掌握预防新型冠状病毒感染的肺炎的个人防护措施、手卫生要求、卫生和健康习惯，避免共用个人物品，注意居室通风，落实消毒措施。倡导老人养成经常洗手的好习惯。,Prevention_String,character
R3010301,儿童预防措施1,儿童预防措施,character
sR35,看护人要戴口罩,Prevention_String,character
R3010302,儿童预防措施2,儿童预防措施,character
sR36,隔离潜伏期的孩子,Prevention_String,character
sR37,有疫情高发区旅行史或新型冠状病毒感染者接触史的孩子，应及时向社区和学校报告。,Prevention_String,character
R3010304,儿童预防措施4,儿童预防措施,character
sR38,玩具和学习、生活用品消毒,Prevention_String,character
sR39,孩子的玩具和学习、生活用品等可用75%酒精擦拭消毒。,Prevention_String,character
R3010305,儿童预防措施5,儿童预防措施,character
sR40,教育孩子养成良好卫生习惯,Prevention_String,character
sR41,教育、督促孩子养成良好卫生习惯，勤洗手、不乱摸、不吃手、不挖鼻孔、不揉眼睛。,Prevention_String,character
R3010306,儿童预防措施6,儿童预防措施,character
sR42,疫情期间免疫接种门诊,Prevention_String,character
sR43,将发放新的预约通知，请根据预约时间前往，前往时请尽量避免乘坐公共交通， 家长和儿童必须做好自身防护。,Prevention_String,character
R3010307,儿童预防措施7,儿童预防措施,character
sR44,外出,Prevention_String,character
sR45,不要带孩子去人多的地方，外出一定要给孩子佩戴口罩，回家后要及时更换衣物并洗手。,Prevention_String,character
R3010308,儿童预防措施8,儿童预防措施,character
sR46,房间通风,Prevention_String,character
R3010401,企业工人预防措施1,企业工人预防措施,character
sR47,上班前测量体温，身着统一工作服,Prevention_String,character
sR48,在上岗前先进行体温测量，体温测量正常后，身着统一的工作服进入厂区。,Prevention_String,character
R3010402,企业工人预防措施2,企业工人预防措施,character
sR49,佩戴口罩和手套,Prevention_String,character
sR50,工作时建议佩戴口罩和手套。,Prevention_String,character
R3010403,企业工人预防措施3,企业工人预防措施,character
sR51,及时就诊,Prevention_String,character
sR52,如果出现发热、咳嗽等可疑症状时，应立即前往医疗机构就诊，不要带病上班。,Prevention_String,character
R3010404,企业工人预防措施4,企业工人预防措施,character
sR53,避免在食堂中堂食。餐具要注意清洗消毒。,Prevention_String,character
sR54,在就餐区，应采取错峰、打包的方式就餐，避免在食堂中堂食，同时减少与同事在食堂中交流。餐具要注意清洗消毒。,Prevention_String,character
R3010405,企业工人预防措施5,企业工人预防措施,character
sR55,减少近距离面对面交流,Prevention_String,character
sR56,在工作区和休息区，减少与工友交流，采取手势或者其他形体语言示意对方；若必须交流时，则双方佩戴口罩并保持最少 1米以上的距离。,Prevention_String,character
R3010406,企业工人预防措施6,企业工人预防措施,character
sR57,对工作区、办公区或休息区经常接触的物体表面消毒,Prevention_String,character
sR58,对工作区、办公区或休息区经常接触的物体表面（如桌面、扶手、座椅等）消毒，可采用含有效氯250mg/L~500mg/L的含氯消毒剂进行喷洒或擦拭。,Prevention_String,character
R3010407,企业工人预防措施7,企业工人预防措施,character
sR59,加强通风,Prevention_String,character
sR60,开门开窗或者增大空调通风系统新风量，增加室内外空气的换气次数，并注意定期清洁处理空调滤网。,Prevention_String,character
R3010408,企业工人预防措施8,企业工人预防措施,character
sR61,使用消毒剂加强手卫生,Prevention_String,character
sR62,加强手卫生，可用有效的含醇速干手消毒剂，特殊条件下，也可使用含氯或过氧化氢消毒剂进行消毒。,Prevention_String,character
R3010501,水、电、煤气等工作人员预防措施1,水、电、煤气等工作人员预防措施,character
sR63,避免劳累,Prevention_String,character
sR64,做好工作与轮休安排，确保工作人员得到足够的休息。,Prevention_String,character
R3010502,水、电、煤气等工作人员预防措施2,水、电、煤气等工作人员预防措施,character
sR65,出勤后立即洗手,Prevention_String,character
sR66,出勤归来后要立即洗手，必要时清洁消毒。,Prevention_String,character
R3010503,水、电、煤气等工作人员预防措施3,水、电、煤气等工作人员预防措施,character
sR67,减少交流,Prevention_String,character
sR68,工作中尽量避免与客户近距离接触，尽量缩短交谈时间。,Prevention_String,character
R3010504,水、电、煤气等工作人员预防措施4,水、电、煤气等工作人员预防措施,character
sR69,佩戴口罩、手套,Prevention_String,character
sR70,上门服务时要注意佩戴口罩和手套等。,Prevention_String,character
R3010505,水、电、煤气等工作人员预防措施5,水、电、煤气等工作人员预防措施,character
sR71,避免使用公共交通工具,Prevention_String,character
sR72,工作人员上门服务时应避免使用公共交通工具。,Prevention_String,character
R3010506,水、电、煤气等工作人员预防措施6,水、电、煤气等工作人员预防措施,character
sR73,上门服务前做好防护,Prevention_String,character
sR74,上门服务前要与客户电话沟通，并做好必要的个人防护。,Prevention_String,character
R3010507,水、电、煤气等工作人员预防措施7,水、电、煤气等工作人员预防措施,character
sR75,自行监测健康状况,Prevention_String,character
sR76,工作人员要自行监测健康状况，若出现可疑症状（发热、咳嗽等），按相关规定上报。,Prevention_String,character
R3010508,水、电、煤气等工作人员预防措施8,水、电、煤气等工作人员预防措施,character
sR77,公司要为员工上门服务提供相应防护用品。,Prevention_String,character
sR78,公司要为员工上门服务提供口罩、手套、手消毒液、消毒纸巾、体温计等防护用品。,Prevention_String,character
R3010601,环卫工人预防措施1,环卫工人预防措施,character
sR79,下水道维修工人要佩戴口罩、手套、护目镜,Prevention_String,character
sR80,使用前后对工具进行清洁消毒；口罩脏污、变形、损坏、有异味时需及时更换。,Prevention_String,character
R3010602,环卫工人预防措施2,环卫工人预防措施,character
sR81,对清洁工具消毒处理,Prevention_String,character
sR82,在保洁结束后，环卫工人对清扫保洁工具进行全面消毒处理。,Prevention_String,character
R3010603,环卫工人预防措施3,环卫工人预防措施,character
sR83,减少与人密切交流和接触,Prevention_String,character
sR84,在清扫保洁过程中需要与工人交谈时，保持最少 1 米以上的距离，避免与其他工人近距离接触和交谈。,Prevention_String,character
R3010604,环卫工人预防措施4,环卫工人预防措施,character
sR85,错峰作业,Prevention_String,character
sR86,在人群密集的场所作业时，应当错峰待人群分散后再继续保洁。,Prevention_String,character
R3010606,环卫工人预防措施6,环卫工人预防措施,character
sR87,避免用手直接触碰垃圾,Prevention_String,character
sR88,在垃圾清理过程中，对垃圾收运工具进行消毒，佩戴口罩、手套，尽量不用手触碰眼、口、鼻等处。,Prevention_String,character
R3010607,环卫工人预防措施7,环卫工人预防措施,character
sR89,上岗前测量体温，身着统一的环卫工作服。,Prevention_String,character
sR90,在上岗前先进行体温测量，体温测量正常后，身着统一的环卫工作服。,Prevention_String,character
R3010701,伤残人士预防措施1,伤残人士预防措施,character
sR91,就医结束对物品进行消毒,Prevention_String,character
sR92,就医结束回家后换洗外衣裤，对轮椅等就医期间携带的物品进行消毒。,Prevention_String,character
R3010702,伤残人士预防措施2,伤残人士预防措施,character
sR93,就医路上佩戴口罩,Prevention_String,character
sR94,前往医院的路上，全程佩戴口罩。如果条件容许，路上打开车窗。,Prevention_String,character
R3010703,伤残人士预防措施3,伤残人士预防措施,character
sR95,就医预约,Prevention_String,character
sR96,若需要就医，提前做好预约。,Prevention_String,character
R3010704,伤残人士预防措施4,伤残人士预防措施,character
sR97,康复训练过程中佩戴口罩，注意安全。,Prevention_String,character
sR98,康复训练量不宜过大。训练结束后及时进行手卫生。,Prevention_String,character
R3010705,伤残人士预防措施5,伤残人士预防措施,character
sR99,出门时佩戴口罩，注意保暖和手卫生,Prevention_String,character
sR100,避免前往人群密集的地方。随身携带消毒湿巾或手消液，外出期间双手触摸外物后及时进行手卫生。,Prevention_String,character
R3010706,伤残人士预防措施6,伤残人士预防措施,character
sR101,减少就医时间,Prevention_String,character
sR102,就医期间佩戴口罩，应尽量缩短在医院逗留的时间。,Prevention_String,character
R3010707,伤残人士预防措施7,伤残人士预防措施,character
sR103,注意卫生,Prevention_String,character
sR104,居室多通风换气并保持整洁卫生，勤洗手，脏手勿触摸眼睛、口鼻。,Prevention_String,character
R3010801,农民工预防措施1,农民工预防措施,character
sR105,工作路上佩戴口罩,Prevention_String,character
sR106,去往工作场所路上应佩戴口罩，各人之间保持一定距离。,Prevention_String,character
R3010802,农民工预防措施2,农民工预防措施,character
sR107,多人工作时佩戴口罩,Prevention_String,character
sR108,工作场所多人一起工作时，每人应佩戴口罩。,Prevention_String,character
R3010803,农民工预防措施3,农民工预防措施,character
sR109,记录体温，如有异常及时隔离,Prevention_String,character
sR110,工作日每天上班前测量体温并做好记录，如出现发热以及咳嗽等症状，要及时隔离并就医。,Prevention_String,character
R3010804,农民工预防措施4,农民工预防措施,character
sR111,返城前测量体温,Prevention_String,character
sR112,返城前，要进行体温测量，确保体温无异常升高。,Prevention_String,character
R3010805,农民工预防措施5,农民工预防措施,character
sR113,日常出行佩戴口罩，注意个人和公共卫生,Prevention_String,character
sR114,日常出行时佩戴口罩，外出期间不乱扔垃圾，不随地吐痰，打喷嚏时用纸巾遮住口鼻，或采用肘臂遮挡，尽量与他人保持一定距离，不到人群密集场所活动。外出返回后手卫生。,Prevention_String,character
R3010806,农民工预防措施6,农民工预防措施,character
sR115,注意宿舍卫生,Prevention_String,character
sR116,集体宿舍勤通风，床铺间距离1米以上，每日打扫卫生，垃圾及时清理，每周对宿舍进行彻底清扫和清洁。,Prevention_String,character
R3010807,农民工预防措施7,农民工预防措施,character
sR117,错时就餐，餐具消毒,Prevention_String,character
sR118,采取错时分餐，避免聚餐。每次餐后彻底清扫餐厅环境卫生，餐桌无食物残渣，地面无卫生死角，厨余垃圾及时清运处理。对使用完餐具及时进行清洗和消毒。,Prevention_String,character
R3010808,农民工预防措施8,农民工预防措施,character
sR119,注意公共卫生,Prevention_String,character
sR120,公共卫生间保持通风。每日随时进行卫生清洁，保持地面、墙壁清洁，洗手池无污垢，便池无粪便污物积累。每日对便池进行消毒。,Prevention_String,character
R3010901,警察预防措施1,警察预防措施,character
sR121,上班前测量体温,Prevention_String,character
sR122,工作日每天上班前应测量体温，体温正常可进入工作岗位。,Prevention_String,character
R3010902,警察预防措施2,警察预防措施,character
sR123,接待、审讯时佩戴口罩,Prevention_String,character
sR124,在接待访客、审讯嫌疑人时，全程佩戴口罩，并要求访客、嫌疑人佩戴口罩。,Prevention_String,character
R3010903,警察预防措施3,警察预防措施,character
sR125,警用车辆通风与消毒,Prevention_String,character
sR126,警用车辆在驾驶过程中建议采用开窗通风。每日执勤完后对车辆进行清洁和消毒，车辆在消毒之后，打开门窗进行通风。,Prevention_String,character
R3010904,警察预防措施4,警察预防措施,character
sR127,公共区域通风与消毒,Prevention_String,character
sR128,走廊、电梯间等公共区域应保持空气流通，每日对地面以及公用设备进行清洁和消毒。,Prevention_String,character
R3010905,警察预防措施5,警察预防措施,character
sR129,参加案情会议时，全程佩戴口罩,Prevention_String,character
sR130,参会人员会议期间相互距离不少于1米。会议室应每日一消，配备手消液或消毒纸巾。,Prevention_String,character
R3010906,警察预防措施6,警察预防措施,character
sR131,交通路口执勤时,Prevention_String,character
sR132,可配备携带消毒纸巾或便携手消液。,Prevention_String,character
R3010907,警察预防措施7,警察预防措施,character
sR133,保持办公室通风，办公室应配有手消液,Prevention_String,character
sR134,上班期间办公室每日定时通风不少于2次，每次20～30分钟，办公室设有洗手龙头或配备手消液。,Prevention_String,character
R3010908,警察预防措施8,警察预防措施,character
sR135,分桌就餐，餐具消毒,Prevention_String,character
sR136,实行错时就餐和分桌就餐。加强餐（饮）具的清洁消毒，餐（饮）具应一人一具一用一消毒。用餐场所应保持通风换气，每日对餐桌椅及地面进行清洁和消毒。,Prevention_String,character
R3010909,警察预防措施9,警察预防措施,character
sR137,外出执勤时应佩戴口罩,Prevention_String,character
sR138,在入户调查、设卡检查等外出执勤时应佩戴口罩。,Prevention_String,character
R3011001,学生预防措施1,学生预防措施,character
sR139,出现负面情绪时，应向心理健康咨询师咨询。,Prevention_String,character
R3011002,学生预防措施2,学生预防措施,character
sR140,作息规律,Prevention_String,character
sR141,保持规律的作息习惯和充足的睡眠。,Prevention_String,character
R3011003,学生预防措施3,学生预防措施,character
sR142,劳逸结合,Prevention_String,character
sR143,减少久坐，适度进行运动以增强身体的抵抗力。,Prevention_String,character
R3011004,学生预防措施4,学生预防措施,character
sR144,饮食清淡,Prevention_String,character
sR145,饮食要清淡，不要太油腻，摄入食物的种类要尽量丰富，减少生食摄入，生吃瓜果要洗净。,Prevention_String,character
R3011005,学生预防措施5,学生预防措施,character
sR146,保持宿舍和教室通风,Prevention_String,character
sR147,在教室上课或在宿舍休息时应定时开窗通风，气温合适时，每日开窗2～3次，每次20～30分钟。,Prevention_String,character
R3011006,学生预防措施6,学生预防措施,character
sR148,避免飞沫喷溅,Prevention_String,character
sR149,咳嗽、打喷嚏时使用手帕或纸巾掩面，避免飞沫喷溅，且要避开直对他人。,Prevention_String,character
R3011007,学生预防措施7,学生预防措施,character
sR150,佩戴口罩，减少聚集性活动,Prevention_String,character
sR151,在教室、图书馆、食堂、宿舍等人员密集场所应佩戴口罩，尽量少参加群体性聚集性活动。,Prevention_String,character
R3011008,学生预防措施8,学生预防措施,character
sR152,随时清洁,Prevention_String,character
sR153,随身携带有效的含醇速干手消毒剂，随时进行手清洁。未进行手清洁时，不要用手碰自己的眼睛。,Prevention_String,character
R3011009,学生预防措施9,学生预防措施,character
sR154,从疫情发生地返校或出现疑似症状的学生应进行居家或集中隔离,Prevention_String,character
sR155,同时通过手机等其他非接触途径向学校进行报告。,Prevention_String,character
R3011010,学生预防措施10,学生预防措施,character
sR156,特殊情况及时通知学校,Prevention_String,character
sR157,如果发现自己出现发热、咳嗽等可疑症状时，需及时通知学校并就医。,Prevention_String,character
sR158,发现自己出现发热、咳嗽等可疑症状,Prevention_String,character
R3011011,学生预防措施11,学生预防措施,character
sR159,课余时间减少外出,Prevention_String,character
sR160,课余时间减少外出，尽量不去人员密集或通风不良的场所，如剧场、电影院、商场等。,Prevention_String,character
R3030101,家庭预防措施1,家庭预防措施,character
sR161,开窗通风,Prevention_String,character
sR162,开窗通风，提升室内空气质量；家庭物体表面以清洁为主，预防性消毒为辅，避免过度消毒。,Prevention_String,character
R3030102,家庭预防措施2,家庭预防措施,character
sR163,注意禽肉饮食,Prevention_String,character
sR164,不要接触、购买和食用野生动物，禽肉蛋要充分煮熟后食用。,Prevention_String,character
R3030103,家庭预防措施3,家庭预防措施,character
sR165,注意卫生,Prevention_String,character
sR166,注意家庭用品卫生和个人卫生,Prevention_String,character
R303010301,家庭预防措施3_1,家庭预防措施,character
sR167,家庭用品卫生,Prevention_String,character
sR168,家庭成员不共用毛巾，勤晒衣被,Prevention_String,character
R303010302,家庭预防措施3_2,家庭预防措施,character
sR169,注意个人卫生,Prevention_String,character
sR170,不随地吐痰，咳嗽或打喷嚏时用纸巾掩住口鼻。,Prevention_String,character
R3030104,家庭预防措施4,家庭预防措施,character
sR171,返家后措施,Prevention_String,character
sR172,从室外返回、咳嗽手捂后、饭前便后应用洗手液或香皂等流水洗手，或者使用含酒精成分的免洗洗手液。,Prevention_String,character
R3030105,家庭预防措施5,家庭预防措施,character
sR173,社交活动预防,Prevention_String,character
sR174,不串门、不聚众、不聚餐、不相互请吃，尽量减少外出活动，少到人员密集的公共场所。,Prevention_String,character
R3030106,家庭预防措施6,家庭预防措施,character
sR175,少去公共场所,Prevention_String,character
R3030107,家庭预防措施7,家庭预防措施,character
sR176,前往公共场所时措施,Prevention_String,character
sR177,外出前往公共场所、乘坐公共交通工具时，应佩戴口罩。,Prevention_String,character
R3030108,家庭预防措施8,家庭预防措施,character
sR178,健康监测,Prevention_String,character
sR179,主动做好家庭成员的健康监测，建议早晚测量体温各一次。,Prevention_String,character
R3030109,家庭预防措施9,家庭预防措施,character
sR180,储备防护物资,Prevention_String,character
sR181,家庭储备体温计、口罩和消毒用品等防护用品。,Prevention_String,character
R3030110,家庭预防措施10,家庭预防措施,character
sR182,注意个人健康,Prevention_String,character
sR183,加强营养，科学饮食，适量运动，保障睡眠，提高身体抵抗力。,Prevention_String,character
R3030201,社区预防措施1,社区预防策略及措施,character
sR184,加强宣传,Prevention_String,character
sR185,在社区门口、楼梯口等处张贴告示，提醒居民加强通风、勤洗手、外出注意佩戴口罩等，也可通过短信、社区公众号等进行宣传。,Prevention_String,character
R3030202,社区预防措施2,社区预防策略及措施,character
sR186,注意社区卫生,Prevention_String,character
sR187,清除暗沟、角落等处的垃圾，做到社区内无垃圾堆积，无污水溢流，无卫生死角。,Prevention_String,character
R3030203,社区预防措施3,社区预防策略及措施,character
sR188,每天对社区内公用厕所门把手、面盆、电梯按键、垃圾桶等公用设施进行消毒。,Prevention_String,character
R3030204,社区预防措施4,社区预防策略及措施,character
sR189,垃圾分类,Prevention_String,character
sR190,对生活垃圾进行分类，并及时清理。,Prevention_String,character
R3030205,社区预防措施5,社区预防策略及措施,character
sR191,集中处理废弃口罩,Prevention_String,character
sR192,在各垃圾收集点设立收集废弃口罩的带盖专用垃圾桶。环卫部门负责统一封袋收运处理。,Prevention_String,character
R3030206,社区预防措施6,社区预防策略及措施,character
sR193,隔离人员物资统一处理,Prevention_String,character
sR194,居家隔离等家庭的垃圾用84消毒液处理后统一投放于社区专用垃圾箱。,Prevention_String,character
R3030207,社区预防措施7,社区预防策略及措施,character
sR195,确保社区公用洗手设施运行正常,Prevention_String,character
sR196,确保社区公用洗手设施运行正常，有条件时可配备速干手消毒剂或感应式手消毒设施。,Prevention_String,character
R3030208,社区防护措施8,社区预防策略及措施,character
sR197,提醒居民减少外出,Prevention_String,character
sR198,提醒居民尽量减少外出，避免社区内人群聚集性活动。,Prevention_String,character
R3030209,社区预防措施9,社区预防策略及措施,character
sR199,居民外出注意,Prevention_String,character
sR200,社区居民外出活动时佩带口罩；尽量不用手直接触摸门把手、扶手、电梯按钮等公共物品。,Prevention_String,character
R3030301,医疗机构预防措施1,医疗机构预防措施,character
sR201,定期消毒,Prevention_String,character
sR202,医疗机构要重视消毒隔离工作，各部门要密切协作，确保消毒隔离和防护措施落实到位，定期进行消毒效果监测。,Prevention_String,character
R3030302,医疗机构预防措施2,医疗机构预防措施,character
sR203,注意通风换气,Prevention_String,character
sR204,医疗机构内所有区域均要注意环境卫生和通风换气，做好环境清洁消毒工作。,Prevention_String,character
R3030303,医疗机构预防措施3,医疗机构预防措施,character
sR205,发现病例处置方法,Prevention_String,character
sR206,诊疗环境应通风良好，并常规进行物体表面及地面的消毒，每天2次。发现疑似或确诊患者，立即为患者佩戴口罩，及时转送发热门诊或隔离病区，及时进行终末消毒并做好记录；通知该患者就诊过的有关科室如放射科、化验室等，做好相应的消毒工作。,Prevention_String,character
R3030304,医疗机构防护措施4,医疗机构预防措施,character
sR207,对相关物品和环境加强消毒,Prevention_String,character
sR208,所有医疗用品、防护用品和环境等均应加强日常消毒，对疑似、确诊患者排出的污染物及其污染的物品和场所要进行随时消毒；病区通风良好，空气流向由清洁区流向污染区，有条件的医疗机构建立空气负压病房或者采用循环风空气消毒机进行空气消毒；患者出院时，其携带的各种物品均要进行相应的消毒处理；在患者康复、死亡或离开后，做好终末消毒。,Prevention_String,character
R3030305,医疗机构预防措施5,医疗机构预防措施,character
sR209,医疗机构的随时消毒和终末消毒由医疗机构安排专人进行，选择合法有效的消毒产品，采取正确的消毒方法，并做好个人防护，疾病预防控制机构做好技术指导。,Prevention_String,character
R3030401,宾馆预防措施1,宾馆预防措施,character
sR210,定期通风,Prevention_String,character
sR211,场所内应定期开门开窗通风换气。,Prevention_String,character
R3030402,宾馆预防措施2,宾馆预防措施,character
sR212,对集中空调系统进行调整,Prevention_String,character
sR213,对于全空气的集中空调系统，应采用全新风方式运行；对于风机盘管加新风的集中空调系统，应采取措施保证内部区域的通风换气。,Prevention_String,character
R3030403,宾馆预防措施3,宾馆预防措施,character
sR214,保持环境卫生,Prevention_String,character
sR215,保持环境卫生清洁，及时清理垃圾；公用物品要定期清洗和消毒；以清洁为主，预防性消毒为辅，避免过度消毒。,Prevention_String,character
R3030404,宾馆预防措施4,宾馆预防措施,character
sR216,配备洗手液,Prevention_String,character
sR217,顾客尽量减少接触公共设施，勤洗手；公用洗手间要配备足够的洗手液，保证水龙头等供水设施正常工作；各客房应配备香皂或洗手液。,Prevention_String,character
R3030405,宾馆预防措施5,宾馆预防措施,character
sR218,确保从业人员安全健康,Prevention_String,character
sR219,从业人员工作过程中必须佩戴口罩，与他人交流时保持安全距离；做好每日健康监测，出现可疑症状时立即前往定点医疗机构就医。,Prevention_String,character
R3030406,宾馆预防措施6,宾馆预防措施,character
sR220,管控入口,Prevention_String,character
sR221,入口设立体温监测点对旅客进行体温测量，拒绝不戴口罩人员入内。,Prevention_String,character
R3030407,宾馆预防措施7,宾馆预防措施,character
sR222,电梯间注意事项,Prevention_String,character
sR223,顾客乘坐厢式电梯时应佩戴口罩，尽量避免直接接触梯内设施。,Prevention_String,character
R3030408,宾馆预防措施8,宾馆预防措施,character
sR224,关闭不必要的场所,Prevention_String,character
sR225,暂停宾馆内其他娱乐、健身、美容（体）美发等配套设施的开放。,Prevention_String,character
R3030409,宾馆预防措施9,宾馆预防措施,character
sR226,减少聚集性活动,Prevention_String,character
sR227,宾馆内应减少聚餐、培训、会议、娱乐活动等聚集性活动，,Prevention_String,character
R3030410,宾馆预防措施10,宾馆预防措施,character
sR228,设立隔离区,Prevention_String,character
sR229,可在宾馆内设立应急隔离区，顾客若出现可疑症状应进行临时隔离，并按照有关规定上报。,Prevention_String,character
R3030501,超市预防措施1,超市预防措施,character
sR230,提醒顾客注意个人防护,Prevention_String,character
sR231,可通过视频滚动播放或在超市入口处、楼梯口、电梯间等显著位置处张贴告示，提醒工作人员和顾客注意佩戴口罩、回家后注意洗手等。,Prevention_String,character
R3030502,超市预防措施2,超市预防措施,character
sR232,确保空气流通,Prevention_String,character
sR233,应保证超市室内空气的流通，保证空调系统或排风扇运转正常，定期清洗空调滤网。,Prevention_String,character
R3030503,超市预防措施3,超市预防措施,character
sR234,保证环境卫生,Prevention_String,character
sR235,保证地面无污水；生鲜加工区下水道口应每天清洁、除垢、消毒；公共卫生间及时清扫，做到无积污。,Prevention_String,character
R3030504,超市预防措施4,超市预防措施,character
sR236,每天产生的垃圾应在专门的垃圾处理区域内分类暂存，及时清理。垃圾暂存地周围应保持清洁，每天至少消毒一次。,Prevention_String,character
R3030505,超市预防措施5,超市预防措施,character
sR237,公共用品消毒及配备洗手液,Prevention_String,character
sR238,对经常接触的公共用品和设施（如电梯间按钮、扶梯扶手、公共垃圾桶等）要定期消毒。超市内洗手间要配备足够的洗手液，保证水龙头等供水施正常工作。,Prevention_String,character
R3030506,超市预防措施6,超市预防措施,character
sR239,物品提前标价,Prevention_String,character
sR240,超市的物品尽量提前包装标价，便于顾客直接结算，减少等待时间。,Prevention_String,character
R3030507,超市预防措施7,超市预防措施,character
sR241,管控分流,Prevention_String,character
sR242,通过管控分流，减少一次性进入超市的顾客人数；购物付款排队时顾客之间宜相距1米；收银员优先采用扫码支付以加快结算速度。,Prevention_String,character
R3030508,超市预防措施8,超市预防措施,character
sR243,确保工作人员健康,Prevention_String,character
sR244,工作人员要自行监测健康状况，出现可疑症状（发热、咳嗽等）时要及时上报。,Prevention_String,character
R3030509,超市预防措施9,超市预防措施,character
sR245,确保工作人员安全,Prevention_String,character
sR246,收银员、理货员、保安等要佩戴口罩、经常洗手。,Prevention_String,character
R3030510,超市预防措施10,超市预防措施,character
sR247,管控入口,Prevention_String,character
sR248,在超市入口处对顾客测量体温，体温正常方可入内。,Prevention_String,character
R3030511,超市预防措施11,超市预防措施,character
sR249,设置隔离区域,Prevention_String,character
sR250,可在超市内设置应急区域，当出现疑似症状人员时，及时到该区域进行暂时隔离，并按规定上报。,Prevention_String,character
R3030601,银行预防措施1,银行预防措施,character
sR251,提醒顾客注意防护,Prevention_String,character
