:START_ID(Health-ID),:END_ID(Health-ID),:TYPE
R1599,sR93,地址
R1599,sR94,地理位置
R6120,sR95,类别
R6120,sR96,地址
R6120,sR97,地理位置
R6198,R2301,涉及检查
R6198,R3272,涉及检查
R4927,sR98,类别
R4927,sR99,地址
R4927,sR100,地理位置
R2633,sR101,类别
R2633,sR102,地址
R2633,sR103,地理位置
R1993,sR104,类别
R1993,sR105,地址
R1993,sR106,地理位置
R4476,sR107,类别
R4476,sR108,地址
R4476,sR109,地理位置
R4443,sR110,类别
R4443,sR111,地址
R4443,sR112,地理位置
R6516,R177,科室
R6516,R6674,涉及症状
R6516,sR113,ICD10编码
R6516,sR114,饮食禁忌
R6516,sR115,并发症
R6516,sR116,发病机制
R6516,sR117,发病部位
R6516,sR118,诊断
R6516,sR119,预防
R6516,sR120,预后
R6516,sR121,简介概述
R6516,sR122,药物治疗
R6516,sR123,治疗方法
R6516,sR124,高发人群
R4832,sR125,类别
R4832,sR126,地址
R4832,sR127,地理位置
R3394,sR128,类别
R3394,sR129,地址
R3394,sR130,地理位置
R6892,R6788,涉及症状
R6892,sR131,起因
R6892,sR132,诊断
R6892,sR133,预防
R6892,sR134,简介概述
R3416,sR135,类别
R3416,sR136,地址
R3416,sR137,地理位置
R978,sR138,类别
R978,sR139,地址
R978,sR140,地理位置
R6299,R177,科室
R6299,R6855,涉及症状
R6299,R6635,涉及症状
R6299,R7091,涉及症状
R6299,R6731,涉及症状
R6299,R6752,涉及症状
R6299,R6930,涉及症状
R6299,sR141,ICD10编码
R6299,sR142,饮食禁忌
R6299,sR143,并发症
R6299,sR144,发病机制
R6299,sR145,一般治疗
R6299,sR146,发病部位
R6299,sR147,诊断
R6299,sR148,预防
R6299,sR149,预后
R6299,sR150,简介概述
R6299,sR151,药物治疗
R6299,sR152,治疗方法
R6299,sR153,高发人群
R6571,R2565,涉及检查
R6960,R7035,涉及症状
R6960,R1619,涉及症状
R6960,R6695,涉及症状
R6960,R6616,涉及症状
R6960,R7029,涉及症状
R6960,R6911,涉及症状
R6960,R7033,涉及症状
R6960,sR154,起因
R6960,sR155,诊断
R6960,sR156,预防
R6960,sR157,简介概述
R3411,sR158,类别
R3411,sR159,地址
R3411,sR160,地理位置
R258,sR161,类别
R258,sR162,地址
R258,sR163,地理位置
R5582,sR164,类别
R5582,sR165,地址
R5582,sR166,地理位置
R3458,sR167,类别
R3458,sR168,地址
R3458,sR169,地理位置
R941,sR170,类别
R941,sR171,地址
R941,sR172,地理位置
R6522,R3620,涉及检查
R1938,sR173,类别
R1938,sR174,地址
R1938,sR175,地理位置
R5954,sR176,类别
R5954,sR177,地址
R5954,sR178,地理位置
R4384,sR179,类别
R4384,sR180,地址
R4384,sR181,地理位置
R1900,sR182,类别
R1900,sR183,地址
R1900,sR184,地理位置
R3714,sR185,类别
R3714,sR186,地址
R3714,sR187,地理位置
R2851,sR188,类别
R2851,sR189,地址
R2851,sR190,地理位置
R6118,sR191,类别
R6118,sR192,地址
R6118,sR193,地理位置
R2061,sR194,类别
R2061,sR195,地址
R2061,sR196,地理位置
R3540,sR197,类别
R3540,sR198,地址
R3540,sR199,地理位置
R227,sR200,类别
R227,sR201,地址
R227,sR202,地理位置
R2564,sR203,类别
R2564,sR204,地址
R2564,sR205,地理位置
R836,sR206,类别
R836,sR207,地址
R836,sR208,地理位置
R6675,sR209,起因
R6675,sR210,诊断
R6675,sR211,预防
R6675,sR212,简介概述
R2439,sR213,类别
R2439,sR214,地址
R2439,sR215,地理位置
R6004,sR216,类别
R6004,sR217,地址
R6004,sR218,地理位置
R43,sR219,类别
R43,sR220,地址
R43,sR221,地理位置
R4188,sR222,类别
R4188,sR223,地址
R4188,sR224,地理位置
R7021,R6788,涉及症状
R7021,R6890,涉及症状
R7021,R6805,涉及症状
R7021,R7079,涉及症状
R7021,sR225,起因
R7021,R6316,涉及疾病
R7021,sR226,诊断
R7021,sR227,预防
R7021,sR228,简介概述
R1054,sR229,类别
R1054,sR230,地址
R1054,sR231,地理位置
R1918,sR232,类别
R1918,sR233,地址
R1918,sR234,地理位置
R2599,sR235,类别
R2599,sR236,地址
R2599,sR237,地理位置
R5405,sR238,类别
R5405,sR239,地址
R5405,sR240,地理位置
R231,sR241,类别
R231,sR242,地址
R231,sR243,地理位置
R287,sR244,类别
R287,sR245,地址
R287,sR246,地理位置
R1562,sR247,类别
R1562,sR248,地址
R1562,sR249,地理位置
R3404,sR250,类别
R3404,sR251,地址
R3404,sR252,地理位置
R1978,sR253,类别
R1978,sR254,地址
R1978,sR255,地理位置
R6952,R6943,涉及症状
R6952,R7033,涉及症状
R6952,R6914,涉及症状
R6952,R6794,涉及症状
R6952,R7095,涉及症状
R6952,R6893,涉及症状
R6952,R7084,涉及症状
R6952,R6926,涉及症状
R6952,sR256,起因
R6952,R6437,涉及疾病
R6952,R6192,涉及疾病
R6952,sR257,诊断
R6952,sR258,预防
R6952,sR259,简介概述
R6192,R5555,科室
R6192,R6753,涉及症状
R6192,R6929,涉及症状
R6192,R7023,涉及症状
R6192,R6907,涉及症状
R6192,R7000,涉及症状
R6192,R6893,涉及症状
R6192,R6666,涉及症状
R6192,R6808,涉及症状
R6192,R6761,涉及症状
R6192,R6833,涉及症状
R6192,R6657,涉及症状
R6192,R6952,涉及症状
R6192,R6662,涉及症状
R6192,R1833,涉及症状
R6192,R6927,涉及症状
R6192,R6707,涉及症状
R6192,R6767,涉及症状
R6192,sR260,ICD10编码
R6192,sR261,并发症
R6192,sR262,发病机制
R6192,sR263,一般治疗
R6192,R3272,涉及检查
R6192,sR264,诊断
R6192,sR265,预防
R6192,sR266,预后
R6192,sR267,简介概述
R6192,sR268,药物治疗
R6192,sR269,治疗方法
R6933,R6940,涉及症状
R6933,sR270,起因
R6933,R6312,涉及疾病
R6933,R5512,涉及检查
R6933,sR271,诊断
R6933,sR272,预防
R6933,sR273,简介概述
R468,sR274,类别
R468,sR275,地址
R468,sR276,地理位置
R4195,sR277,类别
R4195,sR278,地址
R4195,sR279,地理位置
R2600,sR280,类别
R2600,sR281,地址
R2600,sR282,地理位置
R3249,sR283,类别
R3249,sR284,地址
R3249,sR285,地理位置
R1790,sR286,类别
R1790,sR287,地址
R1790,sR288,地理位置
R3832,sR289,类别
R3832,sR290,地址
R3832,sR291,地理位置
R3329,sR292,类别
R3329,sR293,地址
R3329,sR294,地理位置
R3146,sR295,类别
R3146,sR296,地址
R3146,sR297,地理位置
R3531,sR298,类别
R3531,sR299,地址
R3531,sR300,地理位置
R1063,sR301,类别
R1063,sR302,地址
R1063,sR303,地理位置
R3391,sR304,类别
R3391,sR305,地址
R3391,sR306,地理位置
R4485,sR307,类别
R4485,sR308,地址
R4485,sR309,地理位置
R6831,R6788,涉及症状
R6831,R6839,涉及症状
R6831,R6867,涉及症状
R6831,R7091,涉及症状
R6831,R7095,涉及症状
R6831,R6824,涉及症状
R6831,R6704,涉及症状
R6831,R6981,涉及症状
R6831,sR310,起因
R6831,R6258,涉及疾病
R6831,R6243,涉及疾病
R6831,sR311,诊断
R6831,sR312,预防
R6831,sR313,简介概述
R2427,sR314,类别
R2427,sR315,地址
R2427,sR316,地理位置
R568,sR317,类别
R568,sR318,地址
R568,sR319,地理位置
R5929,sR320,类别
R5929,sR321,地址
R5929,sR322,地理位置
R1860,sR323,类别
R1860,sR324,地址
R1860,sR325,地理位置
R6085,sR326,类别
R6085,sR327,地址
R6085,sR328,地理位置
R3288,sR329,类别
R3288,sR330,地址
R3288,sR331,地理位置
R815,sR332,类别
R815,sR333,地址
R815,sR334,地理位置
R6533,R1610,涉及检查
R1048,sR335,类别
R1048,sR336,地址
R1048,sR337,地理位置
R6539,R5602,科室
R6539,R6707,涉及症状
R6539,R7096,涉及症状
R6539,R6659,涉及症状
R6539,R6762,涉及症状
R6539,R6927,涉及症状
R6539,R7097,涉及症状
R6539,R6929,涉及症状
R6539,R4625,涉及症状
R6539,sR338,ICD10编码
R6539,sR339,饮食禁忌
R6539,sR340,并发症
R6539,sR341,发病机制
R6539,sR342,一般治疗
R6539,sR343,发病部位
R6539,sR344,诊断
R6539,sR345,预防
R6539,sR346,预后
R6539,sR347,随访
R6539,sR348,简介概述
R6539,sR349,治疗方法
R6539,sR350,高发人群
R1672,sR351,类别
R1672,sR352,地址
R1672,sR353,地理位置
R3694,sR354,类别
R3694,sR355,地址
R3694,sR356,地理位置
R4672,sR357,类别
R4672,sR358,地址
R4672,sR359,地理位置
R5360,sR360,类别
R5360,sR361,地址
R5360,sR362,地理位置
R1698,sR363,类别
R1698,sR364,地址
R1698,sR365,地理位置
R1286,sR366,类别
R1286,sR367,地址
R1286,sR368,地理位置
R3626,sR369,类别
R3626,sR370,地址
R3626,sR371,地理位置
R5207,sR372,类别
R5207,sR373,地址
R5207,sR374,地理位置
R6289,sR375,ICD10编码
R6289,R3272,涉及检查
R6289,R2301,涉及检查
R6773,sR376,起因
R6773,R2565,涉及检查
R6773,sR377,诊断
R6773,sR378,预防
R6773,sR379,简介概述
R5175,sR380,类别
R5175,sR381,地址
R5175,sR382,地理位置
R2746,sR383,类别
R2746,sR384,地址
R2746,sR385,地理位置
R4709,sR386,类别
R4709,sR387,地址
R4709,sR388,地理位置
R1876,sR389,类别
R1876,sR390,地址
R1876,sR391,地理位置
R4069,sR392,类别
R4069,sR393,地址
R4069,sR394,地理位置
R6855,sR395,起因
R6855,R6312,涉及疾病
R6855,R6299,涉及疾病
R6855,R6577,涉及疾病
R6855,R6243,涉及疾病
R6855,sR396,诊断
R6855,sR397,预防
R6855,sR398,简介概述
R2253,sR399,类别
R2253,sR400,地址
R2253,sR401,地理位置
R1096,sR402,类别
R1096,sR403,地址
R1096,sR404,地理位置
R5755,sR405,类别
R5755,sR406,地址
R5755,sR407,地理位置
R1643,sR408,类别
R1643,sR409,地址
R1643,sR410,地理位置
R3574,sR411,类别
R3574,sR412,地址
R3574,sR413,地理位置
R197,sR414,地址
R197,sR415,地理位置
R4641,sR416,类别
R4641,sR417,地址
R4641,sR418,地理位置
R627,sR419,类别
R627,sR420,地址
R627,sR421,地理位置
R2347,sR422,类别
R2347,sR423,地址
R2347,sR424,地理位置
R278,sR425,类别
R278,sR426,地址
R278,sR427,地理位置
R3084,sR428,类别
R3084,sR429,地址
R3084,sR430,地理位置
R599,sR431,类别
R599,sR432,地址
R599,sR433,地理位置
R1435,sR434,类别
R1435,sR435,地址
R1435,sR436,地理位置
R1548,sR437,类别
R1548,sR438,地址
R1548,sR439,地理位置
R1086,sR440,类别
R1086,sR441,地址
R1086,sR442,地理位置
R594,sR443,类别
R594,sR444,地址
R594,sR445,地理位置
R1722,sR446,类别
R1722,sR447,地址
R1722,sR448,地理位置
R2331,sR449,类别
R2331,sR450,地址
R2331,sR451,地理位置
R519,sR452,类别
R519,sR453,地址
R519,sR454,地理位置
R3321,sR455,类别
R3321,sR456,地址
R3321,sR457,地理位置
R891,sR458,类别
R891,sR459,地址
R891,sR460,地理位置
R2447,sR461,类别
R2447,sR462,地址
R2447,sR463,地理位置
R2617,sR464,类别
R2617,sR465,地址
R2617,sR466,地理位置
R6307,R3134,科室
R6307,R6930,涉及症状
R6307,R6628,涉及症状
R6307,R6731,涉及症状
R6307,sR467,ICD10编码
R6307,sR468,发病机制
R6307,sR469,一般治疗
R6307,sR470,诊断
R6307,sR471,预防
R6307,sR472,预后
R6307,sR473,简介概述
R6307,sR474,药物治疗
R6307,sR475,治疗方法
R2822,sR476,类别
R2822,sR477,地址
R2822,sR478,地理位置
R5081,sR479,类别
R5081,sR480,地址
R5081,sR481,地理位置
R4413,sR482,类别
R4413,sR483,地址
R4413,sR484,地理位置
R6774,R7099,涉及症状
R6774,R7054,涉及症状
R6774,R7000,涉及症状
R6774,R7037,涉及症状
R6774,R6947,涉及症状
R6774,R6994,涉及症状
R6774,sR485,起因
R6774,R6226,涉及疾病
R6774,R6388,涉及疾病
R6774,R790,涉及检查
R6774,sR486,诊断
R6774,sR487,预防
R6774,sR488,简介概述
R6142,sR489,类别
R6142,sR490,地址
R6142,sR491,地理位置
R734,sR492,类别
R734,sR493,地址
R734,sR494,地理位置
R7043,R273,涉及检查
R3048,sR495,类别
R3048,sR496,地址
R3048,sR497,地理位置
R5896,sR498,类别
R5896,sR499,地址
R5896,sR500,地理位置
R3871,sR501,类别
R3871,sR502,地址
R3871,sR503,地理位置
R2843,sR504,类别
R2843,sR505,地址
R2843,sR506,地理位置
R3609,sR507,类别
R3609,sR508,地址
R3609,sR509,地理位置
R936,sR510,类别
R936,sR511,地址
R936,sR512,地理位置
R5704,sR513,类别
R5704,sR514,地址
R5704,sR515,地理位置
R4119,sR516,类别
R4119,sR517,地址
R4119,sR518,地理位置
R4509,sR519,类别
R4509,sR520,地址
R4509,sR521,地理位置
R4049,sR522,类别
R4049,sR523,地址
R4049,sR524,地理位置
R1568,sR525,类别
R1568,sR526,地址
R1568,sR527,地理位置
R478,sR528,类别
R478,sR529,地址
R478,sR530,地理位置
R2940,sR531,类别
R2940,sR532,地址
R2940,sR533,地理位置
R5070,sR534,类别
R5070,sR535,地址
R5070,sR536,地理位置
R2971,sR537,地址
R2971,sR538,地理位置
R5559,sR539,类别
R5559,sR540,地址
R5559,sR541,地理位置
R5620,sR542,类别
R5620,sR543,地址
R5620,sR544,地理位置
R6334,R1984,涉及检查
R6334,R3272,涉及检查
R7098,R6995,涉及症状
R7098,R6754,涉及症状
R7098,R6906,涉及症状
R7098,R7029,涉及症状
R7098,R6599,涉及症状
R7098,R6963,涉及症状
R7098,R6832,涉及症状
R7098,R6598,涉及症状
R7098,R6677,涉及症状
R7098,sR545,起因
R7098,R6582,涉及疾病
R7098,sR546,诊断
R7098,sR547,预防
R7098,sR548,简介概述
R3456,sR549,类别
R3456,sR550,地址
R3456,sR551,地理位置
R480,sR552,类别
R480,sR553,地址
R480,sR554,地理位置
R2,sR555,类别
R2,sR556,地址
R2,sR557,地理位置
R2028,sR558,类别
R2028,sR559,地址
R2028,sR560,地理位置
R4685,sR561,类别
R4685,sR562,地址
R4685,sR563,地理位置
R1841,sR564,类别
R1841,sR565,地址
R1841,sR566,地理位置
R1353,sR567,类别
R1353,sR568,地址
R1353,sR569,地理位置
R6403,R5715,科室
R6403,R6080,涉及症状
R6403,R6840,涉及症状
R6403,R6806,涉及症状
R6403,R6916,涉及症状
R6403,R6810,涉及症状
R6403,R6700,涉及症状
R6403,R6667,涉及症状
R6403,R6672,涉及症状
R6403,R6751,涉及症状
R6403,R6976,涉及症状
R6403,sR570,ICD10编码
R6403,sR571,饮食禁忌
R6403,sR572,并发症
R6403,sR573,发病机制
R6403,sR574,发病部位
R6403,sR575,诊断
R6403,sR576,预防
R6403,sR577,随访
R6403,sR578,简介概述
R6403,sR579,药物治疗
R6403,sR580,治疗方法
R6403,sR581,高发人群
R5701,sR582,类别
R5701,sR583,地址
R5701,sR584,地理位置
R5085,sR585,类别
R5085,sR586,地址
R5085,sR587,地理位置
R2771,sR588,类别
R2771,sR589,地址
R2771,sR590,地理位置
R2541,sR591,类别
R2541,sR592,地址
R2541,sR593,地理位置
R2094,sR594,类别
R2094,sR595,地址
R2094,sR596,地理位置
R6765,R6985,涉及症状
R6765,R6779,涉及症状
R6765,sR597,起因
R6765,R6577,涉及疾病
R6765,R273,涉及检查
R6765,sR598,诊断
R6765,sR599,预防
R6765,sR600,简介概述
R120,sR601,类别
R120,sR602,地址
R120,sR603,地理位置
R4420,sR604,类别
R4420,sR605,地址
R4420,sR606,地理位置
R1512,sR607,类别
R1512,sR608,地址
R1512,sR609,地理位置
R6447,R3134,科室
R6447,R6599,涉及症状
R6447,R6874,涉及症状
R6447,R7029,涉及症状
R6447,R6996,涉及症状
R6447,sR610,ICD10编码
R6447,sR611,饮食禁忌
R6447,sR612,并发症
R6447,sR613,发病机制
R6447,sR614,一般治疗
R6447,sR615,发病部位
R6447,sR616,诊断
R6447,sR617,预防
R6447,sR618,预后
R6447,sR619,简介概述
R6447,sR620,药物治疗
R6447,sR621,治疗方法
R6447,sR622,高发人群
R5655,sR623,类别
R5655,sR624,地址
R5655,sR625,地理位置
R3877,sR626,类别
R3877,sR627,地址
R3877,sR628,地理位置
R23,sR629,类别
R23,sR630,地址
R23,sR631,地理位置
R3173,sR632,类别
R3173,sR633,地址
R3173,sR634,地理位置
R2947,sR635,类别
R2947,sR636,地址
R2947,sR637,地理位置
R418,sR638,类别
R418,sR639,地址
R418,sR640,地理位置
R4434,sR641,类别
R4434,sR642,地址
R4434,sR643,地理位置
R3137,sR644,类别
R3137,sR645,地址
R3137,sR646,地理位置
R1899,sR647,类别
R1899,sR648,地址
R1899,sR649,地理位置
R6143,sR650,类别
R6143,sR651,地址
R6143,sR652,地理位置
R1897,sR653,类别
R1897,sR654,地址
R1897,sR655,地理位置
R1868,sR656,类别
R1868,sR657,地址
R1868,sR658,地理位置
R4467,sR659,类别
R4467,sR660,地址
R4467,sR661,地理位置
R173,sR662,类别
R173,sR663,地址
R173,sR664,地理位置
R4535,sR665,类别
R4535,sR666,地址
R4535,sR667,地理位置
R1071,sR668,类别
R1071,sR669,地址
R1071,sR670,地理位置
R369,sR671,类别
R369,sR672,地址
R369,sR673,地理位置
R4340,sR674,类别
R4340,sR675,地址
R4340,sR676,地理位置
R3553,sR677,类别
R3553,sR678,地址
R3553,sR679,地理位置
R2392,sR680,类别
R2392,sR681,地址
R2392,sR682,地理位置
R3278,sR683,类别
R3278,sR684,地址
R3278,sR685,地理位置
R4912,sR686,类别
R4912,sR687,地址
R4912,sR688,地理位置
R1234,sR689,类别
R1234,sR690,地址
R1234,sR691,地理位置
R1878,sR692,类别
R1878,sR693,地址
R1878,sR694,地理位置
R5904,sR695,类别
R5904,sR696,地址
R5904,sR697,地理位置
R6226,R1593,科室
R6226,R7104,涉及症状
R6226,R7071,涉及症状
R6226,R6753,涉及症状
R6226,R7054,涉及症状
R6226,R223,涉及症状
R6226,R6774,涉及症状
R6226,sR698,ICD10编码
R6226,sR699,饮食禁忌
R6226,sR700,并发症
R6226,sR701,发病机制
R6226,sR702,一般治疗
R6226,sR703,发病部位
R6226,sR704,诊断
R6226,sR705,预防
R6226,sR706,预后
R6226,sR707,随访
R6226,sR708,简介概述
R6226,sR709,药物治疗
R6226,sR710,治疗方法
R6226,sR711,高发人群
R1456,sR712,类别
R1456,sR713,地址
R1456,sR714,地理位置
R2339,sR715,类别
R2339,sR716,地址
R2339,sR717,地理位置
R6392,R3255,涉及检查
R6505,R3134,科室
R6505,sR718,ICD10编码
R6505,sR719,饮食禁忌
R6505,sR720,并发症
R6505,sR721,发病机制
R6505,sR722,一般治疗
R6505,sR723,发病部位
R6505,R273,涉及检查
R6505,sR724,诊断
R6505,sR725,预防
R6505,sR726,预后
R6505,sR727,简介概述
R6505,sR728,药物治疗
R6505,sR729,治疗方法
R6505,sR730,高发人群
R4206,sR731,类别
R4206,sR732,地址
R4206,sR733,地理位置
R3664,sR734,类别
R3664,sR735,地址
R3664,sR736,地理位置
R4174,sR737,类别
R4174,sR738,地址
R4174,sR739,地理位置
R4386,sR740,类别
R4386,sR741,地址
R4386,sR742,地理位置
R2631,sR743,类别
R2631,sR744,地址
R2631,sR745,地理位置
R938,sR746,类别
R938,sR747,地址
R938,sR748,地理位置
R953,sR749,类别
R953,sR750,地址
R953,sR751,地理位置
R6961,R6788,涉及症状
R6961,R7082,涉及症状
R6961,sR752,起因
R6961,R6474,涉及疾病
R6961,sR753,诊断
R6961,sR754,预防
R6961,sR755,简介概述
R6254,R3900,科室
R6254,R5776,涉及症状
R6254,sR756,ICD10编码
R6254,sR757,饮食禁忌
R6254,sR758,并发症
R6254,sR759,发病机制
R6254,sR760,一般治疗
R6254,sR761,发病部位
R6254,sR762,诊断
R6254,sR763,预防
R6254,sR764,预后
R6254,sR765,随访
R6254,sR766,简介概述
R6254,sR767,药物治疗
R6254,sR768,治疗方法
R6254,sR769,高发人群
R6643,R3031,涉及检查
R2920,sR770,类别
R2920,sR771,地址
R2920,sR772,地理位置
R2412,sR773,类别
R2412,sR774,地址
R2412,sR775,地理位置
R4168,sR776,类别
R4168,sR777,地址
R4168,sR778,地理位置
R6656,R6981,涉及症状
R6656,R7002,涉及症状
R6656,R6853,涉及症状
R6656,R1231,涉及症状
R6656,R6707,涉及症状
R6656,R7084,涉及症状
R6656,R6893,涉及症状
R6656,R7059,涉及症状
R6656,R6692,涉及症状
R6656,R7096,涉及症状
R6656,sR779,起因
R6656,R6160,涉及疾病
R6656,R6556,涉及疾病
R6656,R6553,涉及疾病
R6656,R861,涉及疾病
R6656,R6579,涉及疾病
R6656,R6485,涉及疾病
R6656,sR780,诊断
R6656,sR781,预防
R6656,sR782,简介概述
R7006,R6732,涉及症状
R7006,R6080,涉及症状
R7006,R7033,涉及症状
R7006,R2817,涉及症状
R7006,R6851,涉及症状
R7006,R6788,涉及症状
R7006,R6598,涉及症状
R7006,R6889,涉及症状
R7006,sR783,起因
R7006,R6206,涉及疾病
R7006,R6305,涉及疾病
R7006,R6356,涉及疾病
R7006,R6556,涉及疾病
R7006,R6268,涉及疾病
R7006,sR784,诊断
R7006,sR785,预防
R7006,sR786,简介概述
R2636,sR787,类别
R2636,sR788,地址
R2636,sR789,地理位置
R7,sR790,类别
R7,sR791,地址
R7,sR792,地理位置
R4135,sR793,类别
R4135,sR794,地址
R4135,sR795,地理位置
R5906,sR796,类别
R5906,sR797,地址
R5906,sR798,地理位置
R1222,sR799,类别
R1222,sR800,地址
R1222,sR801,地理位置
R984,sR802,类别
R984,sR803,地址
R984,sR804,地理位置
R6907,R6943,涉及症状
R6907,R6690,涉及症状
R6907,R4625,涉及症状
R6907,R6794,涉及症状
R6907,R6879,涉及症状
R6907,sR805,起因
R6907,R6192,涉及疾病
R6907,sR806,诊断
R6907,sR807,预防
R6907,sR808,简介概述
R1879,sR809,类别
R1879,sR810,地址
R1879,sR811,地理位置
R6003,sR812,类别
R6003,sR813,地址
R6003,sR814,地理位置
R2296,sR815,类别
R2296,sR816,地址
R2296,sR817,地理位置
R6495,R5715,科室
R6495,R6669,涉及症状
R6495,R6655,涉及症状
R6495,sR818,ICD10编码
R6495,sR819,饮食禁忌
R6495,sR820,并发症
R6495,sR821,发病机制
R6495,sR822,一般治疗
R6495,sR823,发病部位
R6495,sR824,诊断
R6495,sR825,预防
R6495,sR826,预后
R6495,sR827,随访
R6495,sR828,简介概述
R6495,sR829,药物治疗
R6495,sR830,治疗方法
R6495,sR831,高发人群
R6409,R1593,科室
R6409,R6999,涉及症状
R6409,R6621,涉及症状
R6409,sR832,ICD10编码
R6409,sR833,饮食禁忌
R6409,sR834,并发症
R6409,sR835,发病机制
R6409,sR836,一般治疗
R6409,sR837,发病部位
R6409,sR838,诊断
R6409,sR839,预防
R6409,sR840,预后
R6409,sR841,随访
R6409,sR842,简介概述
R6409,sR843,药物治疗
R6409,sR844,治疗方法
R6409,sR845,高发人群
R5150,sR846,类别
R5150,sR847,地址
R5150,sR848,地理位置
R506,sR849,类别
R506,sR850,地址
R506,sR851,地理位置
R3160,sR852,类别
R3160,sR853,地址
R3160,sR854,地理位置
R2719,sR855,类别
R2719,sR856,地址
R2719,sR857,地理位置
R4176,sR858,类别
R4176,sR859,地址
R4176,sR860,地理位置
R1770,sR861,类别
R1770,sR862,地址
R1770,sR863,地理位置
R2862,sR864,类别
R2862,sR865,地址
R2862,sR866,地理位置
R6453,R3272,涉及检查
R6453,R2301,涉及检查
R4068,sR867,类别
R4068,sR868,地址
R4068,sR869,地理位置
R2536,sR870,类别
R2536,sR871,地址
R2536,sR872,地理位置
R1385,sR873,类别
R1385,sR874,地址
R1385,sR875,地理位置
R6371,R4596,科室
R6371,R6844,涉及症状
R6371,R6896,涉及症状
R6371,R6634,涉及症状
R6371,R6931,涉及症状
R6371,R6767,涉及症状
R6371,R6854,涉及症状
R6371,R6601,涉及症状
R6371,sR876,ICD10编码
R6371,sR877,饮食禁忌
R6371,sR878,并发症
R6371,sR879,发病机制
R6371,sR880,一般治疗
R6371,sR881,发病部位
R6371,sR882,诊断
R6371,sR883,预防
R6371,sR884,预后
R6371,sR885,简介概述
R6371,sR886,药物治疗
R6371,sR887,治疗方法
R6371,sR888,高发人群
R5177,sR889,类别
R5177,sR890,地址
R5177,sR891,地理位置
R977,sR892,类别
R977,sR893,地址
R977,sR894,地理位置
R5448,sR895,类别
R5448,sR896,地址
R5448,sR897,地理位置
R2370,sR898,类别
R2370,sR899,地址
R2370,sR900,地理位置
R4660,sR901,类别
R4660,sR902,地址
R4660,sR903,地理位置
R1368,sR904,类别
R1368,sR905,地址
R1368,sR906,地理位置
R6536,R1610,涉及检查
R2787,sR907,类别
R2787,sR908,地址
R2787,sR909,地理位置
R2273,sR910,类别
R2273,sR911,地址
R2273,sR912,地理位置
R1623,sR913,类别
R1623,sR914,地址
R1623,sR915,地理位置
R6066,sR916,类别
R6066,sR917,地址
R6066,sR918,地理位置
R7082,R7033,涉及症状
R7082,R6823,涉及症状
R7082,sR919,起因
R7082,sR920,诊断
R7082,sR921,预防
